id,target,SNR,sqrtSX,F0,F1,h0,alpha,delta,psi,phi,cosi
00000,1,314.1623146613739,1e-23,407.88344698897254,-7.16919089729245e-11,1.6666666666666667e-24,4.4431626925668635,-0.28800830821832063,-0.1506757844401595,3.6573150713009834,-0.6396007172411016
00001,1,175.30640463988345,1e-23,413.5318335026452,1.005307648365399e-11,1.6666666666666667e-24,4.435257380655634,0.587177728083483,0.016106771740104886,4.05177792050934,-0.13639586782318158
00002,0,0.0,1e-23,393.50609339609264,-5.2799570875752314e-11,0.0,2.0045840992905495,-0.7316998119738175,0.6760220505184138,2.586481816412891,-0.07578856391565836
00003,0,0.0,1e-23,399.35920358952853,8.728236622557818e-11,0.0,2.1124605042929288,0.25449806237199074,0.04165303159466083,0.044050786226235435,0.12352942136751621
00004,0,0.0,1e-23,412.3705319820138,-1.3342068668148284e-11,0.0,1.7790696112385742,0.07812903719995794,0.4052787831906579,3.9921085405944163,-0.8836294140118239
00005,1,184.33107808550622,1e-23,414.3007290119648,-1.2564455226296168e-11,1.6666666666666667e-24,4.305851262556724,-0.5726030084681795,0.22876992774272042,4.35553882713283,-0.18143281133030742
00006,0,0.0,1e-23,401.85094385490413,5.4103368662553516e-11,0.0,6.019783486783719,1.2205830586889699,-0.24445581701387387,1.9444843538741299,-0.82471565051604
00007,0,0.0,1e-23,396.4845824052058,8.777808839210496e-11,0.0,5.973342651977361,-0.47231471245213635,0.18374097458275496,2.9247317952396368,-0.5573607039226309
00008,1,165.26341583789136,1e-23,406.40242906956206,-6.039178906805198e-11,1.6666666666666667e-24,4.279494129083503,0.4426898387469999,0.2708999394859113,3.6456587380366963,0.002005107139041673
00009,1,204.25332498484676,1e-23,406.0013866306525,3.822298728257801e-11,1.6666666666666667e-24,5.6155595928031925,0.5826230531790446,0.21084562347317137,6.205983481424918,-0.27634775148643054
00010,1,210.2218616674645,1e-23,408.5516975162311,3.67148656988049e-14,1.6666666666666667e-24,4.155574262827469,-0.20919530426907174,0.5542994333678815,6.017986295936189,0.3055075926470636
00011,1,170.60959510471633,1e-23,404.7135751679179,-6.828536912821758e-11,1.6666666666666667e-24,0.08879180470682509,-0.6573085699964184,-0.2307264220856866,4.271126131769657,0.042967099030075895
00012,0,0.0,1e-23,409.3980257309311,4.001371176136617e-12,0.0,2.023893254872723,-0.8052515019986834,0.005717502464411273,4.855800433617243,0.8928775740117709
00013,1,308.71817150707636,1e-23,390.11230669348834,-5.7202275447221255e-11,1.6666666666666667e-24,4.761794192877464,0.38357276414588737,0.6776875669251494,3.855313647969516,0.6144278489551316
00014,0,0.0,1e-23,391.05811117449514,-1.685193152296303e-11,0.0,0.22774624351500322,0.6541823581255533,0.2450799055813757,4.233013144085071,-0.42989553100545264
00015,1,233.71309901087227,1e-23,408.58229555596137,1.708320773283029e-11,1.6666666666666667e-24,3.73781776059956,0.43767215058578113,-0.49787783167197897,1.3448486263146442,0.38566268293134653
00016,1,175.01664504696615,1e-23,401.21446309893474,-5.939099307337145e-11,1.6666666666666667e-24,2.478067640490609,-0.3340911693160263,0.1072276317154095,0.9879304358785611,0.1715663346463261
00017,0,0.0,1e-23,390.9929535556578,-5.078268765195633e-11,0.0,3.416642738168434,-0.11415751647371439,0.7450579379619524,1.8282081748044168,-0.05076632330679276
00018,0,0.0,1e-23,390.3576666458913,-1.9019020455513286e-11,0.0,5.379611362569377,0.19118521321856202,-0.3792487735140866,0.6393239084925836,-0.23188787743171346
00019,1,457.8505165888067,1e-23,415.19419795834864,1.1917681523809804e-11,1.6666666666666667e-24,1.7490223090576982,0.24728971237051794,0.642240843269555,5.760338899023457,-0.9837707562109079
