id,target,SNR,sqrtSX,F0,F1,h0,alpha,delta,psi,phi,cosi
00000,0,0.0,1e-23,414.43634952111773,-9.386114310276253e-11,0.0,6.169428955818327,1.4008158799630437,-0.006578921954391581,6.171694789077782,-0.7075324312580216
00001,1,116.87627002920152,1e-23,396.82927848695505,5.712949490822042e-12,1e-24,2.0353827075206494,-0.3168234055917347,0.2763716596855377,5.060256032289576,-0.257126130236514
00002,1,289.1887156355336,1e-23,407.6495664307329,-1.2880615050644247e-12,1e-24,0.35529442260183586,-0.7462146694844367,-0.35738642332503273,3.565975482279239,0.9883746114161862
00003,0,0.0,1e-23,395.5714094167459,2.7860702257580527e-12,0.0,4.541814084187231,0.27324373974689825,-0.522427160551945,0.8401301837108037,0.26703651955914
00004,1,105.36601679354612,1e-23,397.14470630065887,2.9360242011025594e-11,1e-24,3.374045024628584,-0.1624261764524441,-0.45021580652057525,4.578670303113592,0.13047495779017337
00005,1,114.72332826967425,1e-23,416.3715868452811,8.16935461668091e-11,1e-24,1.6751163883394427,-0.6444790463555269,0.030246754535681597,3.1596060813893243,-0.213738210594554
00006,1,216.96579693926822,1e-23,409.2647941392445,9.31202318267478e-11,1e-24,0.32282605738416376,-0.28177995215466334,0.08878568483919691,1.89213752745855,-0.755561240647393
00007,1,122.66617699566362,1e-23,405.1470318050454,-3.839423341979022e-11,1e-24,3.1685713828172712,1.473646501205014,0.6406197424066657,2.281106309207749,0.22368560918546576
00008,1,134.43587534378656,1e-23,407.0996279965353,-8.891512819315827e-11,1e-24,4.939544606171425,0.7523427594271348,-0.7086769239774799,5.882794309359352,-0.3249102045435237
00009,0,0.0,1e-23,402.00760694545517,-5.4766129149479004e-11,0.0,0.5394232238033596,-0.36452186457702573,0.4930807749305981,1.9950602429273983,0.6636448965673456
00010,1,237.7746327442555,1e-23,409.65801531179505,7.246801378194374e-11,1e-24,0.0984742444418212,0.3473225330751505,0.2795206141572677,0.38324846238417826,-0.8312423107581546
00011,1,179.48981221019056,1e-23,419.6593486119755,5.186981159890196e-11,1e-24,1.225554463230047,0.11286657914424264,0.025160993624867234,3.5054179909650935,-0.6084681941657863
00012,0,0.0,1e-23,404.24996417451473,-6.673508865359746e-11,0.0,2.31527349841775,0.26188061505752225,0.6708763841600744,1.7337870884663404,-0.019655548104543508
00013,1,251.82133496883483,1e-23,418.20799788127647,7.003687592476259e-11,1e-24,6.238148019925684,0.0324924816165341,0.2415085968455286,5.375498298465288,0.8991141975655657
00014,0,0.0,1e-23,398.20474693926053,2.0657208296464866e-12,0.0,2.445854028153506,0.754982645842812,0.1169873394426767,4.498913607850196,-0.7382480385182539
00015,1,241.8185477562676,1e-23,416.90970508753327,2.6517498015359793e-11,1e-24,3.034446803047395,-0.0861121467142206,-0.45953368298959635,5.530327562281928,-0.8586609586839737
00016,1,202.45198453957727,1e-23,413.6736655194151,1.8208259165870422e-11,1e-24,5.5449714353921085,0.829841211406335,-0.5705326710879663,3.1416110671605675,0.655351875219057
00017,0,0.0,1e-23,403.0765942818164,-2.24699941606477e-11,0.0,1.0456610176761094,0.028058749329472936,-0.1537915983021969,0.4350931909963304,-0.5469947162594395
00018,0,0.0,1e-23,397.3320082305943,-6.3068853522392706e-12,0.0,2.464051965692165,0.1858921724711812,-0.17199650499239594,3.6019040059241365,-0.45340236922239807
00019,1,109.35358678799578,1e-23,410.7986029348956,-7.393000647528437e-11,1e-24,0.3018863719328063,-1.311908863655289,0.6722313500243011,3.2960443470373795,-0.08322734820212863
