id,target,SNR,sqrtSX,F0,F1,h0,alpha,delta,psi,phi,cosi
00000,0,0.0,1e-23,399.6116796835884,1.7177391217642708e-12,0.0,1.3461784533028145,-0.10793484450706745,0.529523829302458,4.823058195809405,-0.4440798027393915
00001,1,219.33126221652648,1e-23,410.001355994466,6.522919777686479e-11,1.4285714285714285e-24,6.154441677967061,0.6913384131620118,0.46203191485397443,1.1983227367728222,-0.4386592013448076
00002,0,0.0,1e-23,396.29123260725805,-9.318934557906463e-11,0.0,1.687932331225706,0.6852703425597797,0.30522372254330765,4.591076959907926,0.500071389611972
00003,1,189.22725680912023,1e-23,410.9730748447329,7.790669516066057e-11,1.4285714285714285e-24,5.297100374534866,0.3577997486496203,-0.749170814997965,0.9110391599686625,0.3322506030037615
00004,1,163.27910030976926,1e-23,409.4160980120452,-7.516091465683768e-11,1.4285714285714285e-24,1.4821654707242928,-0.716554760510375,-0.22526394136187355,0.41950068304319943,-0.1976020431329586
00005,1,154.10772418590872,1e-23,411.6989855472835,3.745452662561263e-11,1.4285714285714285e-24,5.155595865155613,1.1735139479930632,-0.036298154901269086,2.133011630679159,0.06784506952861347
00006,0,0.0,1e-23,419.6196314704418,4.0716238857861765e-11,0.0,4.4306487963701695,-0.19808193178218644,0.3839100136235942,2.668412713382044,0.7254752699249221
00007,1,227.25242880132512,1e-23,414.83326192703197,-4.566790572518329e-11,1.4285714285714285e-24,4.124051620074471,-0.313202732192235,-0.5383797278017152,3.9354252859168475,0.4922034040459453
00008,0,0.0,1e-23,400.9114324082495,6.730145344586478e-11,0.0,0.8875700724681986,-0.12141576848898772,0.5237102317318985,5.022738970823915,0.977740967235218
00009,1,183.49511810996526,1e-23,418.1601812660742,9.831271660895398e-11,1.4285714285714285e-24,6.13412748185336,-0.9791759286935668,-0.731524148373368,4.612764293422682,-0.27845342825970043
00010,1,156.06315470186635,1e-23,393.34720089520505,-4.5439198819986994e-11,1.4285714285714285e-24,1.4427582197789104,-0.7622884815332508,0.4889562189042649,4.402420510390874,-0.1252806732458671
00011,0,0.0,1e-23,395.87989943425004,-1.8280199889642603e-11,0.0,0.9394814096958177,0.6033416490043276,0.3666669904855895,2.612007411823086,0.22446524652236088
00012,0,0.0,1e-23,408.12984881773025,4.837420843670607e-11,0.0,4.336755566986617,-0.9805012806858301,-0.1324814635617394,1.6414753144108751,0.3619498096525633
